EDAD_VICTIMA,FECHA,FECHA_AA,FECHA_DD,FECHA_DECESO,FECHA_MM,ID,ROL_VICTIMA,SEXO_VICTIMA,VH_VICTIMA
19,1/1/2016,2016,1,1/1/2016,1,2016-0001,CONDUCTOR,MASCULINO,MOTO
70,2/1/2016,2016,2,2/1/2016,1,2016-0002,CONDUCTOR,MASCULINO,AUTO
30,3/1/2016,2016,3,3/1/2016,1,2016-0003,CONDUCTOR,MASCULINO,MOTO
18,10/1/2016,2016,10,SD,1,2016-0004,CONDUCTOR,MASCULINO,MOTO
29,21/1/2016,2016,21,1/2/2016,1,2016-0005,CONDUCTOR,MASCULINO,MOTO
30,24/1/2016,2016,24,24/1/2016,1,2016-0008,CONDUCTOR,MASCULINO,MOTO
29,24/1/2016,2016,24,26/1/2016,1,2016-0009,PASAJERO_ACOMPAÑANTE,MASCULINO,MOTO
18,29/1/2016,2016,29,29/1/2016,1,2016-0010,CONDUCTOR,MASCULINO,MOTO
22,8/2/2016,2016,8,8/2/2016,2,2016-0012,CONDUCTOR,MASCULINO,MOTO
16,10/2/2016,2016,10,10/2/2016,2,2016-0013,PEATON,MASCULINO,PEATON
16,14/2/2016,2016,14,14/2/2016,2,2016-0015,PEATON,FEMENINO,PEATON
19,14/2/2016,2016,14,14/2/2016,2,2016-0016,PASAJERO_ACOMPAÑANTE,FEMENINO,MOTO
59,15/2/2016,2016,15,16/2/2016,2,2016-0017,PEATON,MASCULINO,PEATON
65,17/2/2016,2016,17,17/2/2016,2,2016-0019,PEATON,FEMENINO,PEATON
59,17/2/2016,2016,17,2/3/2016,2,2016-0020,PEATON,MASCULINO,PEATON
34,17/2/2016,2016,17,17/2/2016,2,2016-0021,CONDUCTOR,MASCULINO,AUTO
41,21/2/2016,2016,21,SD,2,2016-0022,PASAJERO_ACOMPAÑANTE,MASCULINO,MOTO
34,28/2/2016,2016,28,28/2/2016,2,2016-0025,PASAJERO_ACOMPAÑANTE,MASCULINO,AUTO
30,28/2/2016,2016,28,4/3/2016,2,2016-0026,CONDUCTOR,MASCULINO,AUTO
34,28/2/2016,2016,28,SD,2,2016-0027,PASAJERO_ACOMPAÑANTE,MASCULINO,AUTO
50,2/3/2016,2016,2,2/3/2016,3,2016-0028,PEATON,MASCULINO,PEATON
38,4/3/2016,2016,4,4/3/2016,3,2016-0029,PEATON,MASCULINO,PEATON
21,8/3/2016,2016,8,SD,3,2016-0031,CONDUCTOR,MASCULINO,MOTO
52,12/3/2016,2016,12,12/3/2016,3,2016-0034,PEATON,MASCULINO,PEATON
34,13/3/2016,2016,13,13/3/2016,3,2016-0035,CONDUCTOR,MASCULINO,MOTO
36,14/3/2016,2016,14,14/3/2016,3,2016-0036,PASAJERO_ACOMPAÑANTE,MASCULINO,MOTO
20,19/3/2016,2016,19,19/3/2016,3,2016-0037,CONDUCTOR,MASCULINO,MOTO
29,21/3/2016,2016,21,21/3/2016,3,2016-0038,PEATON,MASCULINO,PEATON
20,23/3/2016,2016,23,23/3/2016,3,2016-0039,CONDUCTOR,MASCULINO,MOTO
54,29/3/2016,2016,29,29/3/2016,3,2016-0041,CONDUCTOR,MASCULINO,MOTO
SD,29/3/2016,2016,29,30/3/2016,3,2016-0041,PASAJERO_ACOMPAÑANTE,MASCULINO,MOTO
56,30/3/2016,2016,30,30/3/2016,3,2016-0043,PEATON,FEMENINO,PEATON
24,31/3/2016,2016,31,31/3/2016,3,2016-0044,CONDUCTOR,MASCULINO,MOTO
SD,11/4/2016,2016,11,SD,4,2016-0045,CONDUCTOR,MASCULINO,MOTO
41,15/4/2016,2016,15,15/4/2016,4,2016-0047,PEATON,MASCULINO,PEATON
SD,15/4/2016,2016,15,SD,4,2016-0048,PEATON,FEMENINO,PEATON
SD,17/4/2016,2016,17,SD,4,2016-0049,SD,SD,SD
78,19/4/2016,2016,19,19/4/2016,4,2016-0050,PEATON,MASCULINO,PEATON
36,20/4/2016,2016,20,20/4/2016,4,2016-0051,CONDUCTOR,MASCULINO,MOTO
SD,20/4/2016,2016,20,SD,4,2016-0052,SD,SD,MOTO
38,22/4/2016,2016,22,22/4/2016,4,2016-0053,PEATON,MASCULINO,PEATON
30,23/4/2016,2016,23,25/4/2016,4,2016-0054,CONDUCTOR,MASCULINO,MOTO
79,25/4/2016,2016,25,28/4/2016,4,2016-0055,PEATON,MASCULINO,PEATON
26,26/4/2016,2016,26,26/4/2016,4,2016-0056,CONDUCTOR,MASCULINO,MOTO
57,4/5/2016,2016,4,8/5/2016,5,2016-0058,PEATON,FEMENINO,PEATON
37,8/5/2016,2016,8,26/5/2016,5,2016-0059,PEATON,MASCULINO,PEATON
20,14/5/2016,2016,14,SD,5,2016-0064,PEATON,MASCULINO,PEATON
20,20/5/2016,2016,20,20/5/2016,5,2016-0065,PEATON,MASCULINO,PEATON
30,21/5/2016,2016,21,SD,5,2016-0067,PASAJERO_ACOMPAÑANTE,FEMENINO,MOTO
58,22/5/2016,2016,22,SD,5,2016-0068,CONDUCTOR,MASCULINO,MOTO
30,23/5/2016,2016,23,23/5/2016,5,2016-0069,CONDUCTOR,MASCULINO,AUTO
23,11/6/2016,2016,11,SD,6,2016-0073,CONDUCTOR,MASCULINO,MOTO
60,12/6/2016,2016,12,SD,6,2016-0074,CONDUCTOR,MASCULINO,AUTO
42,12/6/2016,2016,12,12/6/2016,6,2016-0075,PEATON,MASCULINO,PEATON
53,13/6/2016,2016,13,13/6/2016,6,2016-0076,PEATON,FEMENINO,PEATON
SD,13/6/2016,2016,13,SD,6,2016-0077,PEATON,FEMENINO,PEATON
30,13/6/2016,2016,13,SD,6,2016-0078,CONDUCTOR,MASCULINO,MOTO
51,16/6/2016,2016,16,SD,6,2016-0079,CONDUCTOR,FEMENINO,AUTO
60,18/6/2016,2016,18,SD,6,2016-0080,CONDUCTOR,MASCULINO,AUTO
40,22/6/2016,2016,22,SD,6,2016-0081,CONDUCTOR,MASCULINO,MOTO
87,27/6/2016,2016,27,5/7/2016,6,2016-0082,PEATON,MASCULINO,PEATON
76,28/6/2016,2016,28,29/6/2016,6,2016-0083,PEATON,FEMENINO,PEATON
57,29/6/2016,2016,29,8/7/2016,6,2016-0084,PEATON,MASCULINO,PEATON
SD,29/6/2016,2016,29,SD,6,2016-0085,SD,MASCULINO,MOTO
75,30/6/2016,2016,30,1/7/2016,6,2016-0086,PEATON,MASCULINO,PEATON
23,3/7/2016,2016,3,3/7/2016,7,2016-0087,CONDUCTOR,MASCULINO,MOTO
70,11/7/2016,2016,11,14/7/2016,7,2016-0088,PEATON,FEMENINO,PEATON
35,14/7/2016,2016,14,14/7/2016,7,2016-0089,PEATON,MASCULINO,PEATON
60,14/7/2016,2016,14,15/7/2016,7,2016-0090,PEATON,MASCULINO,PEATON
24,15/7/2016,2016,15,15/7/2016,7,2016-0092,CONDUCTOR,MASCULINO,MOTO
35,17/7/2016,2016,17,19/7/2016,7,2016-0093,CONDUCTOR,MASCULINO,AUTO
29,23/7/2016,2016,23,23/7/2016,7,2016-0095,CONDUCTOR,MASCULINO,MOTO
SD,25/7/2016,2016,25,SD,7,2016-0096,CONDUCTOR,MASCULINO,MOTO
80,26/7/2016,2016,26,12/8/2016,7,2016-0097,PEATON,MASCULINO,PEATON
43,27/7/2016,2016,27,SD,7,2016-0098,CONDUCTOR,FEMENINO,MOTO
45,29/7/2016,2016,29,SD,7,2016-0099,CONDUCTOR,MASCULINO,CARGAS
57,3/8/2016,2016,3,3/8/2016,8,2016-0100,CONDUCTOR,MASCULINO,MOTO
67,7/8/2016,2016,7,SD,8,2016-0101,SD,MASCULINO,SD
29,10/8/2016,2016,10,SD,8,2016-0102,CONDUCTOR,MASCULINO,MOTO
21,14/8/2016,2016,14,15/8/2016,8,2016-0104,CONDUCTOR,MASCULINO,MOTO
19,17/8/2016,2016,17,26/8/2016,8,2016-0105,PEATON,MASCULINO,PEATON
38,19/8/2016,2016,19,SD,8,2016-0106,PEATON,MASCULINO,PEATON
21,20/8/2016,2016,20,SD,8,2016-0107,CONDUCTOR,MASCULINO,MOTO
53,24/8/2016,2016,24,24/8/2016,8,2016-0109,CONDUCTOR,FEMENINO,AUTO
57,24/8/2016,2016,24,SD,8,2016-0110,PEATON,MASCULINO,PEATON
27,25/8/2016,2016,25,25/8/2016,8,2016-0111,CONDUCTOR,MASCULINO,MOTO
24,27/8/2016,2016,27,27/8/2016,8,2016-0112,CONDUCTOR,MASCULINO,MOTO
60,27/8/2016,2016,27,SD,8,2016-0113,PEATON,FEMENINO,PEATON
55,31/8/2016,2016,31,31/8/2016,8,2016-0114,CICLISTA,FEMENINO,BICICLETA
SD,2/9/2016,2016,2,SD,9,2016-0115,SD,MASCULINO,SD
30,2/9/2016,2016,2,2/9/2016,9,2016-0116,CONDUCTOR,MASCULINO,MOTO
43,3/9/2016,2016,3,SD,9,2016-0117,CONDUCTOR,MASCULINO,AUTO
27,4/9/2016,2016,4,4/9/2016,9,2016-0118,CONDUCTOR,MASCULINO,AUTO
SD,4/9/2016,2016,4,SD,9,2016-0119,PASAJERO_ACOMPAÑANTE,FEMENINO,SD
49,13/9/2016,2016,13,13/9/2016,9,2016-0122,CICLISTA,MASCULINO,BICICLETA
58,14/9/2016,2016,14,SD,9,2016-0123,CONDUCTOR,FEMENINO,MOTO
67,16/9/2016,2016,16,SD,9,2016-0124,PEATON,MASCULINO,PEATON
30,17/9/2016,2016,17,SD,9,2016-0125,CONDUCTOR,MASCULINO,MOTO
37,18/9/2016,2016,18,SD,9,2016-0126,CONDUCTOR,MASCULINO,AUTO
60,18/9/2016,2016,18,SD,9,2016-0126,PASAJERO_ACOMPAÑANTE,MASCULINO,AUTO
50,24/9/2016,2016,24,SD,9,2016-0127,PEATON,MASCULINO,PEATON
