EDAD_VICTIMA,FECHA_x,FECHA_AA,FECHA_DD,FECHA_DECESO,FECHA_MM,ID,ROL_VICTIMA,SEXO_VICTIMA,VH_VICTIMA,AAAA,Altura,Calle,COMUNA,Cruce,DD,Dirección Normalizada,FECHA_y,HH,HORA,LUGAR_HECHO,MM,N_VICTIMAS,PARTICIPANTES,POSX,POSY,TIPO_CALLE,VH_ACUSADO,VICTIMA,XY (CABA)
19,1/1/2016,2016,1,1/1/2016,1,2016-0001,CONDUCTOR,MASCULINO,MOTO,2016,,PIEDRA BUENA AV.,8,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",1,"PIEDRA BUENA AV. Y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",1/1/2016,4,04:00,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,1,1,MOTO-AUTO,-58.47533969,-34.68757022,AVENIDA,AUTO,MOTO,POINT (98896.78238426 93532.43437792)
70,2/1/2016,2016,2,2/1/2016,1,2016-0002,CONDUCTOR,MASCULINO,AUTO,2016,,"PAZ, GRAL. AV.",9,DE LOS CORRALES AV.,2,"PAZ, GRAL. AV. Y DE LOS CORRALES AV.",2/1/2016,1,01:15,AV GRAL PAZ  Y AV DE LOS CORRALES,1,1,AUTO-PASAJEROS,-58.50877521,-34.66977709,GRAL PAZ,PASAJEROS,AUTO,POINT (95832.05571093 95505.41641999)
30,3/1/2016,2016,3,3/1/2016,1,2016-0003,CONDUCTOR,MASCULINO,MOTO,2016,2034.0,ENTRE RIOS AV.,1,,3,ENTRE RIOS AV. 2034,3/1/2016,7,07:00,AV ENTRE RIOS 2034,1,1,MOTO-AUTO,-58.39040293,-34.63189362,AVENIDA,AUTO,MOTO,POINT (106684.29090040 99706.57687843)
18,10/1/2016,2016,10,SD,1,2016-0004,CONDUCTOR,MASCULINO,MOTO,2016,,LARRAZABAL AV.,8,"VILLEGAS, CONRADO, GRAL.",10,"LARRAZABAL AV. Y VILLEGAS, CONRADO, GRAL.",10/1/2016,0,00:00,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,1,1,MOTO-SD,-58.46503904,-34.68092974,AVENIDA,SD,MOTO,POINT (99840.65224780 94269.16534422)
29,21/1/2016,2016,21,1/2/2016,1,2016-0005,CONDUCTOR,MASCULINO,MOTO,2016,,SAN JUAN AV.,1,"SAENZ PE?A, LUIS, PRES.",21,"SAN JUAN AV. Y SAENZ PEÃ‘A, LUIS, PRES.",21/1/2016,5,05:20,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA,1,1,MOTO-PASAJEROS,-58.38718297,-34.62246630,AVENIDA,PASAJEROS,MOTO,POINT (106980.32827929 100752.16915795)
30,24/1/2016,2016,24,24/1/2016,1,2016-0008,CONDUCTOR,MASCULINO,MOTO,2016,,27 DE FEBRERO AV.,8,ESCALADA AV.,24,27 DE FEBRERO AV. Y ESCALADA AV.,24/1/2016,18,18:30,AV 27 DE FEBRERO Y AV ESCALADA,1,1,MOTO-OBJETO FIJO,-58.44451316,-34.68475866,AVENIDA,OBJETO FIJO,MOTO,POINT (101721.59002217 93844.25656649)
29,24/1/2016,2016,24,26/1/2016,1,2016-0009,PASAJERO_ACOMPAÑANTE,MASCULINO,MOTO,2016,,NOGOYA,11,"GONZALEZ, JOAQUIN V.",24,"NOGOYA Y GONZALEZ, JOAQUIN V.",24/1/2016,19,19:10,NOGOYA Y JOAQUIN V. GONZALES,1,1,MOTO-AUTO,-58.50095869,-34.60825440,CALLE,AUTO,MOTO,POINT (96545.87592078 102330.67262199)
18,29/1/2016,2016,29,29/1/2016,1,2016-0010,CONDUCTOR,MASCULINO,MOTO,2016,,"PAZ, GRAL. AV.",9,DE LOS CORRALES AV.,29,"PAZ, GRAL. AV. Y DE LOS CORRALES AV.",29/1/2016,15,15:20,AV GENERAL PAZ Y AV DE LOS CORRALES,1,1,MOTO-AUTO,-58.50877521,-34.66977709,GRAL PAZ,AUTO,MOTO,POINT (95832.05571093 95505.41641999)
22,8/2/2016,2016,8,8/2/2016,2,2016-0012,CONDUCTOR,MASCULINO,MOTO,2016,,BELGRANO AV.,1,"IRIGOYEN, BERNARDO DE",8,"BELGRANO AV. E IRIGOYEN, BERNARDO DE",8/2/2016,1,01:20,AV BELGRANO Y BERNARDO DE IRIGOYEN,2,1,MOTO-CARGAS,-58.38048577,-34.61303893,AVENIDA,CARGAS,MOTO,POINT (107595.35084333 101797.50052813)
16,10/2/2016,2016,10,10/2/2016,2,2016-0013,PEATON,MASCULINO,PEATON,2016,1366.0,ENTRE RIOS AV.,1,,10,ENTRE RIOS AV. 1366,10/2/2016,11,11:30,AV ENTRE RIOS 1366,2,1,PEATON-AUTO,-58.39114932,-34.62477387,AVENIDA,AUTO,PEATON,POINT (106616.41069662 100496.44662323)
16,14/2/2016,2016,14,14/2/2016,2,2016-0015,PEATON,FEMENINO,PEATON,2016,,"SCALABRINI ORTIZ, RAUL AV.",15,VERA,14,"SCALABRINI ORTIZ, RAUL AV. Y VERA",14/2/2016,5,05:14,AV SCALABRINI ORTIZ Y VERA,2,1,PEATON-AUTO,-58.43760020,-34.59912758,AVENIDA,AUTO,PEATON,POINT (102357.43746828 103343.52002839)
19,14/2/2016,2016,14,14/2/2016,2,2016-0016,PASAJERO_ACOMPAÑANTE,FEMENINO,MOTO,2016,,REGIMIENTO DE PATRICIOS AV.,4,"QUINQUELA MARTIN, BENITO",14,"REGIMIENTO DE PATRICIOS AV. Y QUINQUELA MARTIN, BENITO",14/2/2016,22,22:00,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,2,1,MOTO-AUTO,-58.36882665,-34.64291993,AVENIDA,AUTO,MOTO,POINT (108661.59115206 98481.75445555)
59,15/2/2016,2016,15,16/2/2016,2,2016-0017,PEATON,MASCULINO,PEATON,2016,,"ACOSTA, MARIANO",8,"JANER, ANA MARIA",15,"ACOSTA, MARIANO Y JANER, ANA MARIA",15/2/2016,16,16:54,MARIANO ACOSTA Y ANA MARIA JANER,2,1,PEATON-MOTO,-58.44989671,-34.65970435,AVENIDA,MOTO,PEATON,POINT (101228.61094416 96623.72136186)
65,17/2/2016,2016,17,17/2/2016,2,2016-0019,PEATON,FEMENINO,PEATON,2016,,"DE LA TORRE, LISANDRO",9,"GARCIA GRANDE DE ZEQUEIRA, SEVERO",17,"DE LA TORRE, LISANDRO Y GARCIA GRANDE DE ZEQUEIRA, SEVERO",17/2/2016,9,09:30,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA,2,1,PEATON-PASAJEROS,-58.50990884,-34.65468721,CALLE,PASAJEROS,PEATON,POINT (95727.37083199 97179.35560349)
59,17/2/2016,2016,17,2/3/2016,2,2016-0020,PEATON,MASCULINO,PEATON,2016,156.0,SUIPACHA,1,,17,SUIPACHA 156,17/2/2016,16,16:00,SUIPACHA 156,2,1,PEATON-AUTO,-58.37952223,-34.60653282,CALLE,AUTO,PEATON,POINT (107684.31807562 102519.17333314)
34,17/2/2016,2016,17,17/2/2016,2,2016-0021,CONDUCTOR,MASCULINO,AUTO,2016,,DIRECTORIO AV.,7,CURAPALIGUE,17,DIRECTORIO AV. Y CURAPALIGUE,17/2/2016,23,23:35,AV DIRECTORIO Y CURAPALIGUE,2,1,AUTO-AUTO,-58.45157703,-34.63063795,AVENIDA,AUTO,AUTO,POINT (101074.94198885 99848.19369046)
41,21/2/2016,2016,21,SD,2,2016-0022,PASAJERO_ACOMPAÑANTE,MASCULINO,MOTO,2016,,9 DE JULIO AV.,1,"ALSINA, ADOLFO",21,"9 DE JULIO AV. Y ALSINA, ADOLFO",21/2/2016,6,06:00,AV 9 DE JULIO Y ADOLFO ALSINA,2,1,MOTO-AUTO,-58.38144696,-34.61079875,AVENIDA,AUTO,MOTO,POINT (107507.39502374 102046.08333077)
34,28/2/2016,2016,28,28/2/2016,2,2016-0025,PASAJERO_ACOMPAÑANTE,MASCULINO,AUTO,2016,,"PAZ, GRAL. AV.",8,27 DE FEBRERO AV.,28,"PAZ, GRAL. AV. Y 27 DE FEBRERO AV.",28/2/2016,4,04:50,AV GRAL PAZ Y AV 27 DE FEBRERO,2,1,AUTO-AUTO,-58.46244952,-34.70524971,GRAL PAZ,AUTO,AUTO,POINT (100077.95205948 91571.23307293)
30,28/2/2016,2016,28,4/3/2016,2,2016-0026,CONDUCTOR,MASCULINO,AUTO,2016,,HOLMBERG,12,VEDIA,28,HOLMBERG Y VEDIA,28/2/2016,7,07:30,HOLMBERG Y VEDIA,2,1,AUTO-OBJETO FIJO,-58.49216191,-34.54738649,CALLE,OBJETO FIJO,AUTO,POINT (97350.75566590 109083.19420265)
34,28/2/2016,2016,28,SD,2,2016-0027,PASAJERO_ACOMPAÑANTE,MASCULINO,AUTO,2016,,CURAPALIGUE AV.,7,"DIAZ, AVELINO",28,"CURAPALIGUE AV. Y DIAZ, AVELINO",28/2/2016,9,09:35,CURAPALIGUE Y AVELINO DIAZ,2,1,AUTO-AUTO,-58.44497874,-34.63852623,AVENIDA,AUTO,AUTO,POINT (101679.82794245 98973.02976850)
50,2/3/2016,2016,2,2/3/2016,3,2016-0028,PEATON,MASCULINO,PEATON,2016,,VIAMONTE,1,9 DE JULIO AV.,2,VIAMONTE Y 9 DE JULIO AV.,2/3/2016,10,10:00,VIAMONTE Y AV 9 DE JULIO,3,1,PEATON-CARGAS,-58.38199706,-34.60028648,AVENIDA,CARGAS,PEATON,POINT (107457.87314266 103212.28518029)
38,4/3/2016,2016,4,4/3/2016,3,2016-0029,PEATON,MASCULINO,PEATON,2016,,CABILDO AV.,12,DEHEZA,4,CABILDO AV. Y DEHEZA,4/3/2016,17,17:30,AV CABILDO Y DEHEZA,3,1,PEATON-PASAJEROS,-58.47378664,-34.54153077,AVENIDA,PASAJEROS,PEATON,POINT (99037.31284333 109733.12041651)
21,8/3/2016,2016,8,SD,3,2016-0031,CONDUCTOR,MASCULINO,MOTO,2016,,"PAZ, GRAL. AV.",8,"ROCA, CNEL. AV.",8,"PAZ, GRAL. AV. Y ROCA, CNEL. AV.",8/3/2016,12,12:30,AV GRAL PAZ Y AV CNEL ROCA,3,1,MOTO-PASAJEROS,-58.47064556,-34.69843756,GRAL PAZ,PASAJEROS,MOTO,POINT (99327.01838497 92326.91130631)
52,12/3/2016,2016,12,12/3/2016,3,2016-0034,PEATON,MASCULINO,PEATON,2016,,"ALCORTA, AMANCIO AV.",4,"BONAVENA, OSCAR NATALIO",12,"ALCORTA, AMANCIO AV. Y BONAVENA, OSCAR NATALIO",12/3/2016,12,12:30,AV AMANCIO ALCORTA Y BONAVENA,3,1,PEATON-PASAJEROS,-58.40623949,-34.65076549,AVENIDA,PASAJEROS,PEATON,POINT (105230.98315750 97613.97258373)
34,13/3/2016,2016,13,13/3/2016,3,2016-0035,CONDUCTOR,MASCULINO,MOTO,2016,,CORRIENTES AV.,3,CALLAO AV.,13,CORRIENTES AV. Y CALLAO AV.,13/3/2016,6,06:00,AV CORRIENTES Y AV CALLAO,3,1,MOTO-PASAJEROS,-58.39228965,-34.60443527,AVENIDA,PASAJEROS,MOTO,POINT (106513.41423248 102752.75354401)
36,14/3/2016,2016,14,14/3/2016,3,2016-0036,PASAJERO_ACOMPAÑANTE,MASCULINO,MOTO,2016,,HERRERA,4,"VALLE, ARISTOBULO DEL",14,"HERRERA Y VALLE, ARISTOBULO DEL",14/3/2016,0,00:15,HERRERA Y ARISTOBULO DEL VALLE,3,1,MOTO-PASAJEROS,-58.37813396,-34.63668504,CALLE,PASAJEROS,MOTO,POINT (107808.84957181 99174.17105826)
20,19/3/2016,2016,19,19/3/2016,3,2016-0037,CONDUCTOR,MASCULINO,MOTO,2016,,LAFUENTE AV.,7,QUIRNO,19,LAFUENTE AV. Y QUIRNO,19/3/2016,11,11:00,AV. EVA PERON Y QUIRNO,3,1,MOTO-MOTO,-58.46275892,-34.64358293,AVENIDA,MOTO,MOTO,POINT (100049.60313526 98412.21255444)
29,21/3/2016,2016,21,21/3/2016,3,2016-0038,PEATON,MASCULINO,PEATON,2016,,"PAZ, GRAL. AV.",8,ZUVIRIA,21,"PAZ, GRAL. AV. Y ZUVIRIA",21/3/2016,8,08:06,AV GRAL PAZ COLECTORA Y ZUVIRIA,3,1,PEATON-PASAJEROS,-58.49683458,-34.67892743,GRAL PAZ,PASAJEROS,PEATON,POINT (96926.79887463 94490.76318635)
20,23/3/2016,2016,23,23/3/2016,3,2016-0039,CONDUCTOR,MASCULINO,MOTO,2016,,"MITRE, BARTOLOME",3,PUEYRREDON AV.,23,"MITRE, BARTOLOME Y PUEYRREDON AV.",23/3/2016,1,01:50,BARTOLOME MITRE Y AV PUEYRREDON,3,1,MOTO-PASAJEROS,-58.40603217,-34.60883960,AVENIDA,PASAJEROS,MOTO,POINT (105252.60308563 102264.96028996)
54,29/3/2016,2016,29,29/3/2016,3,2016-0041,CONDUCTOR,MASCULINO,MOTO,2016,,DIRECTORIO AV.,7,RIVERA INDARTE AV.,29,DIRECTORIO AV. Y RIVERA INDARTE AV.,29/3/2016,11,11:00,AV DIRECTORIO Y RIVERA INDARTE,3,2,MOTO-CARGAS,-58.46076550,-34.63350444,AVENIDA,CARGAS,MOTO,POINT (100232.38564985 99530.25843190)
SD,29/3/2016,2016,29,30/3/2016,3,2016-0041,PASAJERO_ACOMPAÑANTE,MASCULINO,MOTO,2016,,DIRECTORIO AV.,7,RIVERA INDARTE AV.,29,DIRECTORIO AV. Y RIVERA INDARTE AV.,29/3/2016,11,11:00,AV DIRECTORIO Y RIVERA INDARTE,3,2,MOTO-CARGAS,-58.46076550,-34.63350444,AVENIDA,CARGAS,MOTO,POINT (100232.38564985 99530.25843190)
56,30/3/2016,2016,30,30/3/2016,3,2016-0043,PEATON,FEMENINO,PEATON,2016,,"DELLEPIANE, LUIS, TTE. GRAL.",8,MURGUIONDO,30,"DELLEPIANE, LUIS, TTE. GRAL. Y MURGUIONDO",30/3/2016,18,18:15,DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO,3,1,PEATON-CARGAS,-58.47832463,-34.67494416,AVENIDA,CARGAS,PEATON,POINT (98623.04338909 94933.06478837)
24,31/3/2016,2016,31,31/3/2016,3,2016-0044,CONDUCTOR,MASCULINO,MOTO,2016,,"MORENO, JOSE MARIA AV.",7,BALBASTRO,31,"MORENO, JOSE MARIA AV. Y BALBASTRO",31/3/2016,19,19:40,AV JOSE MARIA MORENO Y BALBASTRO,3,1,MULTIPLE,-58.43213235,-34.63693953,AVENIDA,MULTIPLE,MOTO,POINT (102857.73817324 99148.76714504)
SD,11/4/2016,2016,11,SD,4,2016-0045,CONDUCTOR,MASCULINO,MOTO,2016,,"PAZ, GRAL. AV.",13,DEL LIBERTADOR AV.,11,"PAZ, GRAL. AV. Y DEL LIBERTADOR AV.",11/4/2016,10,10:25,AV GRAL PAZ Y AV DEL LIBERTADOR,4,1,MOTO-SD,-58.46743471,-34.53476874,GRAL PAZ,SD,MOTO,POINT (99620.34936816 110483.29286598)
41,15/4/2016,2016,15,15/4/2016,4,2016-0047,PEATON,MASCULINO,PEATON,2016,1483.0,LIMA,1,,15,LIMA 1483,15/4/2016,5,05:30,LIMA 1483,4,1,PEATON-PASAJEROS,-58.38247061,-34.62571878,CALLE,PASAJEROS,PEATON,POINT (107412.19098904 100391.02557777)
SD,15/4/2016,2016,15,SD,4,2016-0048,PEATON,FEMENINO,PEATON,2016,,CORRIENTES AV.,15,DORREGO AV.,15,CORRIENTES AV. Y DORREGO AV.,15/4/2016,17,17:40,AV. CORRIENTES Y AV. DORREGO,4,1,PEATON-PASAJEROS,-58.44759966,-34.59170240,AVENIDA,PASAJEROS,PEATON,POINT (101440.29935254 104167.40204334)
SD,17/4/2016,2016,17,SD,4,2016-0049,SD,SD,SD,2016,,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,,17,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,17/4/2016,0,00:00,"AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 0,700",4,1,SD-SD,-58.37714647568196,-34.63657525428238,AUTOPISTA,SD,SD,POINT (. .)
78,19/4/2016,2016,19,19/4/2016,4,2016-0050,PEATON,MASCULINO,PEATON,2016,,"GORDILLO, TIMOTEO",8,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",19,"GORDILLO, TIMOTEO Y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",19/4/2016,9,09:50,TIMOTEO GORDILLO Y AV FERNANDEZ DE LA CRUZ,4,1,PEATON-PASAJEROS,-58.47305463,-34.68550712,AVENIDA,PASAJEROS,PEATON,POINT (99106.14718950 93761.32882893)
36,20/4/2016,2016,20,20/4/2016,4,2016-0051,CONDUCTOR,MASCULINO,MOTO,2016,,"ALCORTA, AMANCIO AV.",4,"BONAVENA, OSCAR NATALIO",20,"ALCORTA, AMANCIO AV. Y BONAVENA, OSCAR NATALIO",20/4/2016,4,04:00,AV AMANCIO ALCORTA Y BONAVENA,4,1,MOTO-CARGAS,-58.40623949,-34.65076549,AVENIDA,CARGAS,MOTO,POINT (105230.98315750 97613.97258373)
SD,20/4/2016,2016,20,SD,4,2016-0052,SD,SD,MOTO,2016,,"LUGONES, LEOPOLDO AV.",13,,20,,20/4/2016,20,20:00,AUTOPISTA LUGONES PK 10000,4,1,MOTO-SD,.,.,AUTOPISTA,SD,MOTO,POINT (. .)
38,22/4/2016,2016,22,22/4/2016,4,2016-0053,PEATON,MASCULINO,PEATON,2016,,TRIUNVIRATO AV.,12,OLAZABAL AV.,22,TRIUNVIRATO AV. Y OLAZABAL AV.,22/4/2016,9,09:30,AV TRIUNVIRATO Y AV OLAZABAL,4,1,PEATON-PASAJEROS,-58.48429180,-34.57558053,AVENIDA,PASAJEROS,PEATON,POINT (98073.80557770 105955.73972818)
30,23/4/2016,2016,23,25/4/2016,4,2016-0054,CONDUCTOR,MASCULINO,MOTO,2016,,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8,"PAZ, GRAL. AV.",23,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. Y PAZ, GRAL. AV.",23/4/2016,21,21:00,AU LUIS DELLEPIANE Y AV GRAL PAZ,4,1,MOTO-MOTO,-58.48695354,-34.68795245,AUTOPISTA,MOTO,MOTO,POINT (97832.57143731 93489.83736533)
79,25/4/2016,2016,25,28/4/2016,4,2016-0055,PEATON,MASCULINO,PEATON,2016,,"CASTILLA, RAMON, MARISCAL",14,"FIGUEROA ALCORTA, PRES. AV.",25,"CASTILLA, RAMON, MARISCAL Y FIGUEROA ALCORTA, PRES. AV.",25/4/2016,20,20:30,RAMON CASTILLA Y AV FIGUEROA ALCORTA,4,1,PEATON-CARGAS,-58.40021959,-34.57964781,AVENIDA,CARGAS,PEATON,POINT (105787.74102401 105502.98340149)
26,26/4/2016,2016,26,26/4/2016,4,2016-0056,CONDUCTOR,MASCULINO,MOTO,2016,30.0,"CAMPOS, LUIS M. AV.",14,,26,"CAMPOS, LUIS M. AV. 30",26/4/2016,4,04:45,AV LUIS MARIA CAMPOS 30,4,1,MOTO-OBJETO FIJO,-58.42957885,-34.57660058,AVENIDA,OBJETO FIJO,MOTO,POINT (103094.06446966 105842.29634122)
57,4/5/2016,2016,4,8/5/2016,5,2016-0058,PEATON,FEMENINO,PEATON,2016,1471.0,LIMA,1,,4,LIMA 1471,4/5/2016,14,14:00,LIMA 1471,5,1,PEATON-MOTO,-58.38247542,-34.62556293,CALLE,MOTO,PEATON,POINT (107411.76356149 100408.31441284)
37,8/5/2016,2016,8,26/5/2016,5,2016-0059,PEATON,MASCULINO,PEATON,2016,,CIUDADELA,1,LIMA,8,CIUDADELA Y LIMA,8/5/2016,16,16:30,PASAJE CIUDADELA Y LIMA OESTE,5,1,PEATON-PASAJEROS,-58.38222219,-34.62728101,CALLE,PASAJEROS,PEATON,POINT (107434.83290791 100217.70308007)
20,14/5/2016,2016,14,SD,5,2016-0064,PEATON,MASCULINO,PEATON,2016,,"JUSTO, JUAN B. AV.",10,CARRASCO AV.,14,"JUSTO, JUAN B. AV. Y CARRASCO AV.",14/5/2016,18,18:11,AV JUAN B JUSTO Y AV CARRASCO,5,1,PEATON-PASAJEROS,-58.49485242,-34.62953445,AVENIDA,PASAJEROS,PEATON,POINT (97106.70264812 99970.19547024)
20,20/5/2016,2016,20,20/5/2016,5,2016-0065,PEATON,MASCULINO,PEATON,2016,,GAONA AV.,6,ESPINOSA,20,GAONA AV. Y ESPINOSA,20/5/2016,14,14:40,AV GAONA Y ESPINOSA,5,1,PEATON-AUTO,-58.45227946,-34.61068024,AVENIDA,AUTO,PEATON,POINT (101010.75965434 102062.18185970)
30,21/5/2016,2016,21,SD,5,2016-0067,PASAJERO_ACOMPAÑANTE,FEMENINO,MOTO,2016,,"DE LA TORRE, LISANDRO",8,SARAZA,21,"DE LA TORRE, LISANDRO Y SARAZA",21/5/2016,17,17:00,AV LISANDRO DE LA TORRE Y SARAZA,5,1,MOTO-PASAJEROS,-58.48455411,-34.67512760,AVENIDA,PASAJEROS,MOTO,POINT (98052.13008621 94912.60873025)
58,22/5/2016,2016,22,SD,5,2016-0068,CONDUCTOR,MASCULINO,MOTO,2016,,"FIGUEROA ALCORTA, PRES. AV.",2,PUEYRREDON AV.,22,"FIGUEROA ALCORTA, PRES. AV. Y PUEYRREDON AV.",22/5/2016,22,22:00,AV FIGUEROA ALCORTA Y AV PUEYRREDON,5,1,MOTO-PASAJEROS,-58.39056593,-34.58418569,AVENIDA,PASAJEROS,MOTO,POINT (106673.12856878 104998.99234220)
30,23/5/2016,2016,23,23/5/2016,5,2016-0069,CONDUCTOR,MASCULINO,AUTO,2016,,ENTRE RIOS AV.,3,FILIBERTO,23,ENTRE RIOS AV. Y FILIBERTO,23/5/2016,3,03:30,AV ENTRE RIOS Y PASAJE FILIBERTO,5,1,AUTO-CARGAS,-58.39118948,-34.62704273,AVENIDA,CARGAS,AUTO,POINT (106612.54991859 100244.75667446)
23,11/6/2016,2016,11,SD,6,2016-0073,CONDUCTOR,MASCULINO,MOTO,2016,3900.0,"MAGARI?OS CERVANTES, A.",10,,11,"MAGARIÃ‘OS CERVANTES, A. 3900",11/6/2016,15,15:00,MAGARIÑOS CERVANTES 3900,6,1,MOTO-CARGAS,-58.49021952,-34.62025108,CALLE,CARGAS,MOTO,POINT (97531.24792840 101000.15957301)
