COMUNA,2016F,2016M,2017F,2017M,2018F,2018M,2019F,2019M,2020F,2020M,2021F,2021M,2022F,2022M,2023F,2023M,2024F,2024M,2025F,2025M
1,128008,124045,128250,125021,128458,125950,128629,126828,128754,127651,128825,128410,128834,129100,128777,129720,128656,130266,128463,130742
10,90475,79688,90492,79790,90507,79887,90518,79979,90527,80065,90532,80145,90533,80217,90529,80282,90520,80339,90507,80389
11,100357,89599,100345,89641,100334,89682,100326,89720,100320,89756,100316,89789,100316,89819,100319,89846,100325,89870,100334,89891
12,114143,99433,114222,99692,114289,99940,114344,100174,114385,100392,114408,100594,114411,100778,114392,100943,114353,101089,114290,101215
13,128335,107484,128346,107621,128355,107752,128362,107876,128367,107991,128370,108098,128371,108195,128368,108282,128363,108360,128355,108426
14,124369,102515,124356,102588,124346,102657,124337,102723,124331,102784,124327,102841,124327,102892,124330,102938,124336,102979,124346,103014
15,97104,85286,97092,85317,97082,85345,97073,85372,97067,85398,97064,85421,97063,85443,97066,85462,97072,85479,97081,85493
2,82978,66870,82895,66825,82824,66783,82766,66744,82723,66707,82699,66672,82696,66641,82715,66613,82757,66588,82822,66567
3,101959,90614,101961,90802,101963,90982,101964,91151,101966,91310,101968,91457,101970,91590,101972,91710,101974,91816,101977,91907
4,124785,113518,124901,113908,125001,114278,125083,114629,125143,114957,125177,115260,125181,115535,125155,115782,125095,116001,125003,116190
5,101100,85640,101134,85822,101164,85995,101189,86159,101206,86312,101217,86453,101218,86582,101210,86697,101192,86799,101165,86888
6,100543,84068,100583,84263,100617,84450,100645,84626,100666,84790,100678,84942,100679,85081,100670,85205,100649,85315,100618,85410
7,127589,112527,127702,112905,127800,113265,127879,113605,127938,113923,127971,114217,127975,114485,127949,114725,127891,114937,127801,115120
8,118538,107199,118786,107863,118999,108496,119173,109093,119300,109653,119372,110169,119379,110639,119319,111061,119190,111433,118989,111756
9,88308,82045,88340,82265,88368,82474,88391,82671,88408,82856,88417,83027,88418,83182,88411,83322,88394,83445,88369,83552
